Czas;VA;VB;TB
579x;0.836674x;2.40591x;45.0486x
580x;0.832504x;2.40457x;45.0225x
581x;0.828345x;2.40322x;44.9963x
582x;0.824196x;2.40187x;44.9701x
583x;0.820057x;2.40051x;44.9437x
584x;0.815929x;2.39915x;44.9174x
585x;0.811812x;2.39778x;44.891x
586x;0.807704x;2.3964x;44.8645x
587x;0.803607x;2.39502x;44.838x
588x;0.799521x;2.39364x;44.8114x
589x;0.795445x;2.39224x;44.7848x
590x;0.791379x;2.39084x;44.7581x
591x;0.787324x;2.38944x;44.7313x
592x;0.783279x;2.38803x;44.7045x
593x;0.779245x;2.38661x;44.6777x
594x;0.775221x;2.38519x;44.6508x
595x;0.771208x;2.38376x;44.6238x
596x;0.767204x;2.38233x;44.5968x
597x;0.763212x;2.38089x;44.5697x
598x;0.75923x;2.37944x;44.5425x
599x;0.755258x;2.37799x;44.5153x
600x;0.751296x;2.37653x;44.4881x
601x;0.747345x;2.37507x;44.4608x
602x;0.743405x;2.3736x;44.4334x
603x;0.739474x;2.37213x;44.406x
604x;0.735555x;2.37065x;44.3785x
605x;0.731645x;2.36916x;44.351x
606x;0.727746x;2.36767x;44.3234x
607x;0.723858x;2.36618x;44.2958x
608x;0.71998x;2.36468x;44.2681x
609x;0.716112x;2.36317x;44.2403x
610x;0.712255x;2.36166x;44.2125x
611x;0.708408x;2.36014x;44.1846x
612x;0.704572x;2.35861x;44.1567x
613x;0.700745x;2.35708x;44.1287x
614x;0.69693x;2.35555x;44.1007x
615x;0.693125x;2.35401x;44.0726x
616x;0.68933x;2.35246x;44.0445x
617x;0.685546x;2.35091x;44.0162x
618x;0.681772x;2.34936x;43.988x
619x;0.678008x;2.3478x;43.9597x
620x;0.674255x;2.34623x;43.9313x
621x;0.670512x;2.34466x;43.9028x
622x;0.66678x;2.34308x;43.8743x
623x;0.663058x;2.3415x;43.8458x
624x;0.659347x;2.33991x;43.8172x
625x;0.655646x;2.33832x;43.7885x
626x;0.651955x;2.33672x;43.7598x
627x;0.648275x;2.33511x;43.731x
628x;0.644605x;2.3335x;43.7022x
629x;0.640946x;2.33189x;43.6733x
630x;0.637297x;2.33027x;43.6443x
631x;0.633658x;2.32865x;43.6153x
632x;0.63003x;2.32702x;43.5863x
633x;0.626413x;2.32538x;43.5571x
634x;0.622805x;2.32375x;43.5279x
635x;0.619208x;2.3221x;43.4987x
636x;0.615622x;2.32045x;43.4694x
637x;0.612046x;2.3188x;43.44x
638x;0.60848x;2.31714x;43.4106x
639x;0.604925x;2.31547x;43.3812x
640x;0.60138x;2.31381x;43.3516x
641x;0.597846x;2.31213x;43.322x
642x;0.594322x;2.31045x;43.2924x
643x;0.590809x;2.30877x;43.2627x
644x;0.587305x;2.30708x;43.2329x
645x;0.583813x;2.30539x;43.2031x
646x;0.58033x;2.30369x;43.1732x
647x;0.576859x;2.30198x;43.1432x
648x;0.573397x;2.30028x;43.1132x
649x;0.569946x;2.29856x;43.0832x
650x;0.566506x;2.29685x;43.0531x
651x;0.563075x;2.29512x;43.0229x
652x;0.559656x;2.2934x;42.9926x
653x;0.556246x;2.29166x;42.9624x
654x;0.552847x;2.28993x;42.932x
655x;0.549459x;2.28819x;42.9016x
656x;0.546081x;2.28644x;42.8711x
657x;0.542713x;2.28469x;42.8406x
658x;0.539356x;2.28294x;42.81x
659x;0.536009x;2.28118x;42.7793x
660x;0.532672x;2.27941x;42.7486x
661x;0.529346x;2.27764x;42.7178x
662x;0.526031x;2.27587x;42.687x
663x;0.522725x;2.27409x;42.6561x
664x;0.519431x;2.27231x;42.6251x
665x;0.516146x;2.27052x;42.5941x
